prov,state,avg_gmin,sd_gmin,avg_stomata,sd_stomata,avg_osmotic,sd_osmotic,avg_SLA,sd_SLA,AHMI,mean_temp,mean_precip,dem
1,VIC,2.1666,0.451,248.130,34.385,0.636,0.052,54.7302,1.816,10.730937,8.083333588,1847,1241.25
2,VIC,2.3343,0.673,207.150,24.703,0.612,0.045,53.3809,6.373,13.08083153,7.041666412,1573,1309.079956
3,VIC,2.1143,0.205,211.600,27.597,0.602,0.024,58.0481,4.305,12.85712814,9.216666412,1796,992.7470093
4,VIC,2.5646,1.122,251.700,45.431,0.583,0.036,55.2666,5.321,12.46686459,8.025,1690,1187.593994
5,VIC,2.4424,0.722,225.860,33.766,0.600,0.053,56.4498,11.456,15.27602482,8.75,1618,1082.156006
6,VIC,2.3885,0.600,275.750,68.516,0.651,0.076,59.1120,6.944,24.70633507,10.1,813,920.5004272
7,VIC,2.7200,0.569,277.090,68.773,0.649,0.063,60.8788,8.103,20.41034126,8.816666412,982,1099.987061
8,VIC,3.1530,1.736,200.910,29.942,0.588,0.015,59.2893,7.925,27.06607246,9.275,974,1025.535034
9,VIC,2.7604,0.741,225.860,25.131,0.667,0.060,51.0544,5.024,18.72408867,7.933333588,1168,1402.85498
10,VIC,2.1363,0.475,232.100,18.123,0.620,0.058,56.6955,14.560,21.69953728,8.633333588,1218,1128.332031
11,VIC,2.3253,0.390,237.440,42.339,0.606,0.045,56.3443,5.473,14.74788284,9.691666412,1735,1048.136963
12,VIC,2.2057,0.249,239.670,52.276,0.599,0.044,56.1462,3.457,14.17998886,8.033333588,1505,1017.419006
13,VIC,2.3337,0.383,234.320,84.089,0.608,0.037,55.6790,5.070,18.29063988,8.891666412,1245,1181.302979
14,VIC,2.5153,0.331,230.760,38.887,0.608,0.058,62.5507,4.573,12.92062664,9.833333588,1761,999.1270752
15,VIC,2.6421,0.964,232.100,35.338,0.608,0.023,52.4531,8.229,16.14130211,9.783333588,1379,979.3370972
16,TAS,2.5286,0.693,253.930,45.512,0.661,0.182,63.0705,5.315,17.76175214,6.625,936,1048
17,TAS,2.3910,0.718,228.530,50.759,0.612,0.029,63.4396,8.314,13.9095417,8.708333588,1345,658
18,TAS,2.5155,0.276,219.620,41.029,0.632,0.119,64.4535,15.456,21.35060255,11.84166641,1023,248
19,NSW,2.1366,0.726,225.860,34.886,0.633,0.032,51.4356,2.879,12.72554588,7.941666412,1404,1432.359009
20,NSW,2.5615,1.331,253.480,28.802,0.616,0.063,52.7066,4.506,14.79278564,10.05833359,1260,1204.887207
21,NSW,2.1200,0.550,235.220,72.496,0.580,0.038,50.9840,3.839,13.79761887,10.625,1170,1115.211426
