sn,prov,day,time_min,gminvalue
1,1,1,0,
2,1,1,30,3.038961173
3,1,1,60,2.907713204
4,1,1,90,3.20091936
5,1,1,120,2.852429671
6,1,1,150,4.143761288
7,1,1,180,3.826393017
8,1,1,210,2.63164595
9,1,1,240,3.362253961
10,1,1,270,2.559648684
11,1,1,300,2.605565334
12,1,1,330,2.705549274
1,1,2,0,
2,1,2,30,9.966221513
3,1,2,60,23.90204847
4,1,2,90,24.95443897
5,1,2,120,12.11956161
6,1,2,150,6.218219524
7,1,2,180,4.406352999
8,1,2,210,2.824296127
9,1,2,240,1.673761829
10,1,2,270,1.609042686
11,1,2,300,1.585791205
12,1,2,330,1.379967774
1,1,3,0,
2,1,3,30,33.76642149
3,1,3,60,10.96099264
4,1,3,90,4.710855258
5,1,3,120,3.313017543
6,1,3,150,2.271786618
7,1,3,180,1.664246509
8,1,3,210,1.683359686
9,1,3,240,2.129685183
10,1,3,270,1.929056266
11,1,3,300,1.832315835
12,1,3,330,2.104691319
1,1,4,0,
2,1,4,30,27.36447928
3,1,4,60,37.38321127
4,1,4,90,13.90439623
5,1,4,120,3.667748461
6,1,4,150,2.407273828
7,1,4,180,2.542144466
8,1,4,210,2.275374922
9,1,4,240,2.211621101
10,1,4,270,2.034380227
11,1,4,300,2.308961261
12,1,4,330,2.25750325
1,1,5,0,
2,1,5,30,30.49683723
3,1,5,60,13.09398124
4,1,5,90,6.078603183
5,1,5,120,3.62244633
6,1,5,150,2.42428393
7,1,5,180,2.616867773
8,1,5,210,2.20012932
9,1,5,240,2.590287262
10,1,5,270,1.900255999
11,1,5,300,2.318499738
12,1,5,330,2.2333521
1,2,1,0,
2,2,1,30,20.17218356
3,2,1,60,7.174928992
4,2,1,90,7.342248861
5,2,1,120,3.582638046
6,2,1,150,2.598193399
7,2,1,180,2.108843219
8,2,1,210,1.929658136
9,2,1,240,2.389985375
10,2,1,270,1.898946815
11,2,1,300,1.699716889
12,2,1,330,2.249814269
1,2,2,0,
2,2,2,30,24.78668686
3,2,2,60,3.49052408
4,2,2,90,2.771711743
5,2,2,120,1.654303626
6,2,2,150,1.782962003
7,2,2,180,1.747919817
8,2,2,210,1.757785385
9,2,2,240,1.490757391
10,2,2,270,1.576921791
11,2,2,300,1.862968888
12,2,2,330,1.490166306
1,2,3,0,
2,2,3,30,3.982081929
3,2,3,60,4.424649723
4,2,3,90,6.055998501
5,2,3,120,7.832681439
6,2,3,150,7.597984479
7,2,3,180,4.785023107
8,2,3,210,3.847161285
9,2,3,240,2.552310364
10,2,3,270,2.668410286
11,2,3,300,2.772861429
12,2,3,330,2.463697139
1,2,4,0,
2,2,4,30,37.49465835
3,2,4,60,8.697437832
4,2,4,90,4.756743747
5,2,4,120,3.107125634
6,2,4,150,3.112918903
7,2,4,180,2.247949652
8,2,4,210,2.659437535
9,2,4,240,1.836098903
10,2,4,270,2.26248457
11,2,4,300,1.444628723
12,2,4,330,2.610479614
1,2,5,0,
2,2,5,30,14.02107439
3,2,5,60,4.252335545
4,2,5,90,4.083026063
5,2,5,120,4.419930906
6,2,5,150,4.881792525
7,2,5,180,4.388099589
8,2,5,210,4.020688285
9,2,5,240,3.543349448
10,2,5,270,3.289903901
11,2,5,300,3.405824323
12,2,5,330,3.176128772
1,3,1,0,
2,3,1,30,8.718812471
3,3,1,60,13.57235538
4,3,1,90,17.28028285
5,3,1,120,14.22979732
6,3,1,150,7.758277464
7,3,1,180,5.016463867
8,3,1,210,3.030420216
9,3,1,240,2.630921516
10,3,1,270,1.926547396
11,3,1,300,1.417332926
12,3,1,330,1.823927188
1,3,2,0,
2,3,2,30,6.913393093
3,3,2,60,14.46667609
4,3,2,90,12.17079649
5,3,2,120,3.533270932
6,3,2,150,2.243119925
7,3,2,180,1.759227066
8,3,2,210,1.292845102
9,3,2,240,1.981813169
10,3,2,270,1.903745853
11,3,2,300,1.3249111
12,3,2,330,2.257500433
1,3,3,0,
2,3,3,30,14.86663953
3,3,3,60,14.78218966
4,3,3,90,7.473111592
5,3,3,120,3.766321186
6,3,3,150,2.828491249
7,3,3,180,2.626296254
8,3,3,210,2.386962414
9,3,3,240,2.39377635
10,3,3,270,2.339447578
11,3,3,300,2.317294384
12,3,3,330,2.183707502
1,3,4,0,
2,3,4,30,3.546350715
3,3,4,60,10.20561235
4,3,4,90,35.57890959
5,3,4,120,6.231265951
6,3,4,150,2.716583529
7,3,4,180,2.320339712
8,3,4,210,2.070755631
9,3,4,240,1.996633166
10,3,4,270,2.446319723
11,3,4,300,1.850381189
12,3,4,330,2.210390738
1,3,5,0,
2,3,5,30,36.60617553
3,3,5,60,12.47727354
4,3,5,90,5.234323919
5,3,5,120,3.406009095
6,3,5,150,2.807324529
7,3,5,180,2.999754314
8,3,5,210,2.610706348
9,3,5,240,2.003579825
10,3,5,270,2.347930399
11,3,5,300,2.507729909
12,3,5,330,2.422975082
1,4,1,0,
2,4,1,30,28.27856694
3,4,1,60,4.113800528
4,4,1,90,3.402507187
5,4,1,120,2.345961529
6,4,1,150,2.213259803
7,4,1,180,2.092061251
8,4,1,210,1.725959479
9,4,1,240,2.149090325
10,4,1,270,1.633163566
11,4,1,300,1.786667126
12,4,1,330,2.096165913
1,4,2,0,
2,4,2,30,30.25049658
3,4,2,60,11.01219377
4,4,2,90,8.752098929
5,4,2,120,2.710913618
6,4,2,150,2.201794678
7,4,2,180,2.098561879
8,4,2,210,1.615659214
9,4,2,240,1.771762778
10,4,2,270,1.798597698
11,4,2,300,1.793709516
12,4,2,330,1.664959889
1,4,3,0,
2,4,3,30,23.91987917
3,4,3,60,13.04766401
4,4,3,90,5.23492718
5,4,3,120,3.01738953
6,4,3,150,2.070300841
7,4,3,180,1.52170484
8,4,3,210,1.897740192
9,4,3,240,1.606181335
10,4,3,270,1.635133016
11,4,3,300,1.467500396
12,4,3,330,1.851886496
1,4,4,0,
2,4,4,30,40.31775484
3,4,4,60,6.976249319
4,4,4,90,3.724208192
5,4,4,120,3.898203633
6,4,4,150,3.504910658
7,4,4,180,3.455044354
8,4,4,210,3.588942755
9,4,4,240,3.400510953
10,4,4,270,3.36894566
11,4,4,300,3.344370359
12,4,4,330,3.424952604
1,4,5,0,
2,4,5,30,5.440626422
3,4,5,60,4.402375529
4,4,5,90,5.874268846
5,4,5,120,6.020900457
6,4,5,150,7.361557627
7,4,5,180,7.429744987
8,4,5,210,5.75954604
9,4,5,240,5.060102879
10,4,5,270,3.860306388
11,4,5,300,3.98905901
12,4,5,330,3.588338692
1,5,1,0,
2,5,1,30,9.217717522
3,5,1,60,10.56658618
4,5,1,90,9.84091333
5,5,1,120,7.145178613
6,5,1,150,5.431095485
7,5,1,180,3.41835563
8,5,1,210,2.003189162
9,5,1,240,1.684452054
10,5,1,270,1.302471069
11,5,1,300,1.452900044
