prov,tree,leaf,stomata_count,density
1,1,1,18,240.5613097
1,1,1,19,253.9258269
1,1,1,17,227.1967925
1,1,2,22,294.0193785
1,1,2,21,280.6548613
1,1,2,16,213.8322753
1,2,1,20,267.2903441
1,2,1,20,267.2903441
1,2,1,23,307.3838958
1,2,2,18,240.5613097
1,2,2,13,173.7387237
1,2,2,14,187.1032409
1,3,1,19,253.9258269
1,3,1,21,280.6548613
1,3,1,20,267.2903441
1,3,2,16,213.8322753
1,3,2,22,294.0193785
1,3,2,26,347.4774474
1,4,1,16,213.8322753
1,4,1,13,173.7387237
1,4,1,14,187.1032409
1,4,2,18,240.5613097
1,4,2,13,173.7387237
1,4,2,13,173.7387237
1,5,1,20,267.2903441
1,5,1,23,307.3838958
1,5,1,22,294.0193785
1,5,2,20,267.2903441
1,5,2,22,294.0193785
1,5,2,18,240.5613097
2,1,1,15,200.4677581
2,1,1,19,253.9258269
2,1,1,16,213.8322753
2,1,2,12,160.3742065
2,1,2,13,173.7387237
2,1,2,11,147.0096893
2,2,1,16,213.8322753
2,2,1,16,213.8322753
2,2,1,19,253.9258269
2,2,2,19,253.9258269
2,2,2,19,253.9258269
2,2,2,21,280.6548613
2,3,1,14,187.1032409
2,3,1,17,227.1967925
2,3,1,15,200.4677581
2,3,2,13,173.7387237
2,3,2,16,213.8322753
2,3,2,17,227.1967925
2,4,1,17,227.1967925
2,4,1,18,240.5613097
2,4,1,19,253.9258269
2,4,2,15,200.4677581
2,4,2,14,187.1032409
2,4,2,13,173.7387237
2,5,1,14,187.1032409
2,5,1,13,173.7387237
2,5,1,13,173.7387237
2,5,2,14,187.1032409
2,5,2,14,187.1032409
2,5,2,13,173.7387237
3,1,1,14,187.1032409
3,1,1,12,160.3742065
3,1,1,13,173.7387237
3,1,2,15,200.4677581
3,1,2,12,160.3742065
3,1,2,13,173.7387237
3,2,1,17,227.1967925
3,2,1,17,227.1967925
3,2,1,19,253.9258269
3,2,2,18,240.5613097
3,2,2,18,240.5613097
3,2,2,19,253.9258269
3,3,1,13,173.7387237
3,3,1,15,200.4677581
3,3,1,16,213.8322753
3,3,2,13,173.7387237
3,3,2,14,187.1032409
3,3,2,14,187.1032409
3,4,1,17,227.1967925
3,4,1,18,240.5613097
3,4,1,16,213.8322753
3,4,2,18,240.5613097
3,4,2,15,200.4677581
3,4,2,19,253.9258269
3,5,1,18,240.5613097
3,5,1,15,200.4677581
3,5,1,18,240.5613097
3,5,2,17,227.1967925
3,5,2,16,213.8322753
3,5,2,16,213.8322753
4,1,1,15,200.4677581
4,1,1,12,160.3742065
4,1,1,12,160.3742065
4,1,2,17,227.1967925
4,1,2,14,187.1032409
4,1,2,17,227.1967925
4,2,1,16,213.8322753
4,2,1,20,267.2903441
4,2,1,19,253.9258269
4,2,2,25,334.1129302
4,2,2,21,280.6548613
4,2,2,26,347.4774474
4,3,1,24,320.748413
4,3,1,22,294.0193785
4,3,1,23,307.3838958
4,3,2,20,267.2903441
4,3,2,22,294.0193785
4,3,2,20,267.2903441
4,4,1,15,200.4677581
4,4,1,11,147.0096893
4,4,1,13,173.7387237
4,4,2,18,240.5613097
4,4,2,19,253.9258269
4,4,2,19,253.9258269
4,5,1,19,253.9258269
4,5,1,21,280.6548613
4,5,1,20,267.2903441
4,5,2,21,280.6548613
4,5,2,22,294.0193785
4,5,2,22,294.0193785
5,1,1,14,187.1032409
5,1,1,14,187.1032409
5,1,1,12,160.3742065
5,1,2,18,240.5613097
5,1,2,18,240.5613097
5,1,2,18,240.5613097
5,2,1,17,227.1967925
5,2,1,16,213.8322753
5,2,1,17,227.1967925
5,2,2,17,227.1967925
5,2,2,19,253.9258269
5,2,2,16,213.8322753
5,3,1,19,253.9258269
5,3,1,13,173.7387237
5,3,1,17,227.1967925
5,3,2,15,200.4677581
5,3,2,15,200.4677581
5,3,2,17,227.1967925
5,4,1,23,307.3838958
